Date,p_etr,p_gpm,p_nm,p_nsa,p_ppm,p_swcr,c_etr,c_gpm,c_nm,c_nsa,c_ppm,c_swcr
1/1/2007,17,84.87,26.94,0.11,32.49,0.43,26.1,63.94,19.65,0.18,26.59,0.51
4/1/2007,16.8,80.97,12.13,0.1,14.61,0.42,17.73,63.85,22.76,0.18,27.67,0.5
7/1/2007,-25.31,61.48,6.64,0.11,5.3,0.44,22.53,63.69,21.14,0.18,27.28,0.48
10/1/2007,7.51,79.6,21.06,0.11,23.08,0.51,23.75,64.33,20.46,0.18,26.83,0.52
1/1/2008,21.45,83.24,23.58,0.1,30.02,0.4,15.9,64.27,23.08,0.17,27.44,0.45
4/1/2008,0.9,81.13,22.8,0.1,23,0.48,21.91,64.13,20.95,0.18,26.83,0.49
7/1/2008,17.01,82.28,18.87,0.1,22.73,0.45,23.21,64.04,18.11,0.17,23.58,0.47
10/1/2008,63.04,86.11,1.87,0.11,5.06,0.77,25.02,63.98,19.43,0.18,25.92,0.47
1/1/2009,28.24,87.04,25.11,0.09,35,0.35,15.51,64.67,21.3,0.18,25.22,0.47
4/1/2009,25.78,84.01,20.6,0.08,27.76,0.24,19.49,62.97,16.55,0.15,20.55,0.37
7/1/2009,27.5,84.61,24.77,0.08,34.17,0.23,20.09,64.07,16.52,0.13,20.67,0.29
10/1/2009,-18875,76.2,4.59,0.08,0.02,0.68,29.48,63.98,12.67,0.13,17.96,0.28
1/1/2010,36.05,74.29,12.14,0.09,18.98,0.7,20.19,65.27,19.81,0.13,24.82,0.29
4/1/2010,37.44,78.1,14.35,0.09,22.94,0.66,21.32,64.51,18.88,0.13,23.99,0.27
7/1/2010,39.17,75.91,5.42,0.08,8.9,0.54,8.78,63.95,21.14,0.13,23.18,0.33
10/1/2010,-250.18,75.62,16.53,0.09,4.72,0.55,19.98,62.69,17.86,0.13,22.31,0.34
1/1/2011,28.67,77.62,13.48,0.08,18.89,0.57,20.41,62.84,17.95,0.13,22.56,0.33
4/1/2011,29.71,77.6,15.24,0.09,21.68,0.57,12.08,60.16,14.62,0.13,16.62,0.31
7/1/2011,33.66,78.6,14.16,0.09,21.34,0.49,17.98,61.28,16.63,0.13,20.27,0.28
10/1/2011,34.89,76.66,8.92,0.09,13.69,0.56,16.02,61.29,11,0.13,13.1,0.28
1/1/2012,29.38,80.69,11.7,0.08,16.57,0.55,20.85,61.21,15.79,0.13,19.94,0.28
4/1/2012,28.77,81.72,21.21,0.08,29.78,0.54,20.63,61.29,18.93,0.13,23.85,0.28
7/1/2012,3.98,80.93,22.25,0.08,21.4,0.5,22.09,61.87,18.68,0.13,23.98,0.26
10/1/2012,31.24,79.77,9.7,0.08,14.11,0.44,19.66,60.61,16.4,0.13,20.41,0.26
1/1/2013,29.58,80.36,20.45,0.07,29.04,0.36,20.49,60.95,17.62,0.13,22.15,0.29
4/1/2013,33.26,82.72,27.56,0.07,41.29,0.34,-13.06,60.7,25.98,0.13,22.98,0.28
7/1/2013,27.57,81.91,20.47,0.07,28.26,0.32,15.86,61.48,20.28,0.13,24.11,0.3
10/1/2013,14.05,79.39,19.41,0.08,22.58,0.41,20.93,59.17,18.28,0.12,23.12,0.29
1/1/2014,20.44,81.99,19.95,0.07,25.08,0.34,21.42,61.29,16.52,0.12,21.02,0.29
4/1/2014,27.03,80.72,22.87,0.07,31.34,0.35,18.58,53.35,12.81,0.11,15.73,0.3
7/1/2014,25.4,80.84,21.65,0.07,29.02,0.33,17.45,60.68,18.89,0.11,22.88,0.25
10/1/2014,30.23,79.41,9.58,0.08,13.74,0.39,19.11,59.93,18.18,0.12,22.48,0.26
1/1/2015,22.91,83.08,21.87,0.07,28.37,0.37,22.54,59.89,14.93,0.12,19.27,0.26
4/1/2015,25.57,81.61,22.23,0.07,29.86,0.43,16.57,59.4,20.08,0.11,24.07,0.25
7/1/2015,21.02,81.64,17.62,0.07,22.31,0.7,19.7,62,20.08,0.11,25.01,0.26
10/1/2015,-43.62,75.72,4.4,0.08,3.07,0.98,20.93,60.21,18.06,0.11,22.84,0.26
1/1/2016,15.02,78.08,23.27,0.08,27.38,1.04,22.54,61.76,19.16,0.11,24.74,0.24
4/1/2016,15.56,75.86,15.48,0.08,18.33,1.12,4.81,62.31,26.39,0.11,27.72,0.23
7/1/2016,17.71,76.35,10.12,0.07,12.3,3.49,23.81,64.34,19.58,0.1,25.69,0.22
10/1/2016,1.67,76.39,5.6,0.08,5.7,1.74,17.12,63.1,22.26,0.1,26.86,0.23
1/1/2017,20.78,80.67,24.49,0.08,30.92,1.16,21.37,63.83,18.8,0.1,23.91,0.21
